SEP=,
FROM,TO,DEMAND
Buch am Irchel Ost,Winterthur Hegi Nord,0.01442219
Buch am Irchel Ost,Winterthur Hegi S�d,0.005601611
Buch am Irchel Ost,Winterthur Zinzikon,0.036917111
Buch am Irchel Ost,Winterthur Reutlingen,0.004845561
Buch am Irchel Ost,Winterthur Stadel,0.002830613
Buch am Irchel Ost,Winterthur Ricketwil,0.000324717
Buch am Irchel Ost,Winterthur Waser,0.063933391
Buch am Irchel Ost,Winterthur B�elwiesen,0.050434205
Buch am Irchel Ost,Winterthur Waldegg,0.020548084
Buch am Irchel Ost,Winterthur Ganzenb�hl West,0.012008223
Buch am Irchel Ost,Winterthur Ganzenb�hl Ost,0.019091401
Buch am Irchel Ost,Winterthur Sonnenberg,0.009975196
Buch am Irchel Ost,Winterthur Oberseen,0.026958217
Buch am Irchel Ost,Winterthur Gotzenwil,0.002619596
Buch am Irchel Ost,Winterthur Eidberg,0.000212711
Buch am Irchel Ost,Winterthur Iberg,0.002926352
Buch am Irchel Ost,Winterthur Sennhof,0.003447058
Buch am Irchel Ost,Winterthur Schlosstal West,0.036443149
Buch am Irchel Ost,Winterthur Schlosstal S�d,0.024684425
Buch am Irchel Ost,Winterthur Schlosstal Nord,0.066806518
Buch am Irchel Ost,Winterthur Schlosstal Ost,0.09128987
Buch am Irchel Ost,Winterthur D�ttnau Nord,0.029077882
Buch am Irchel Ost,Winterthur D�ttnau S�d,0.037893593
Buch am Irchel Ost,Winterthur Eichliacker West,0.019306825
Buch am Irchel Ost,Winterthur Eichliacker S�d,0.032751805
Buch am Irchel Ost,Winterthur Eichliacker Mitte,0.034322768
Buch am Irchel Ost,Winterthur Eichliacker Nord,0.077058057
Buch am Irchel Ost,Winterthur Eichliacker Ost,0.03037815
Buch am Irchel Ost,Winterthur Rossberg,0.002519477
Buch am Irchel Ost,Winterthur Rosenberg Ost,0.041353863
Buch am Irchel Ost,Winterthur Rosenberg S�d,0.216268969
Buch am Irchel Ost,Winterthur Rosenberg Nord,0.033657081
Buch am Irchel Ost,Winterthur Rosenberg West,0.034868957
Buch am Irchel Ost,Winterthur Blumenau Nord,0.218757536
Buch am Irchel Ost,Winterthur Blumenau S�d,0.416722146
Buch am Irchel Ost,Winterthur Blumenau Ost,0.204210991
Buch am Irchel Ost,Winterthur Weinberg Nord,0.031737756
Buch am Irchel Ost,Winterthur Weinberg S�d,0.107364863
Buch am Irchel Ost,Winterthur Oberfeld Nord,0.052602957
Buch am Irchel Ost,Winterthur Oberfeld West,0.102308001
Buch am Irchel Ost,Winterthur Oberfeld Ost,0.10881384
Buch am Irchel Ost,Winterthur Oberfeld S�dwest,0.107799324
Buch am Irchel Ost,Winterthur Oberfeld S�dost,0.059745842
Buch am Irchel Ost,Winterthur Oberfeld Mitte,0.316940421
Buch am Irchel Ost,Winterthur Lindenplatz Nord,0.446678436
